steam_id,recommendationid,author_steamid,playtime_forever,review,voted_up,votes_up,timestamp_created
2357570,225361230,76561199175780533,13353,the 10th anniversary rewards are completely useless,False,1,1778614994
2357570,225360822,76561199712552542,42345,most ♥♥♥♥♥♥♥ fps game out there doesnt give a ♥♥♥♥ about any of the players its like hoyoverse of fps games,False,1,1778614601
2357570,225360164,76561198378685074,2072,It needs another Kiriko skin.,False,0,1778613939
2357570,225359177,76561198121146662,4154,Event na 10-lecie to tragedia. Nawet Pvz Garden Warfare 2 miało lepszy event na 10-lecie (nie było żadnego eventu),False,16,1778612997
2357570,225357633,76561199033383761,11351,wuyang.,True,0,1778611502
2357570,225357069,76561198216685355,4555,xD,False,0,1778610958
2357570,225283947,76561198001364224,280,Better than ever,True,0,1778517200
2357570,225268772,76561198295076007,335,"Kiedyś preferowałem Paladins, jakoś tak lepiej mi się grało. Obecnie Paladins jest martwe, więc postanowiłem sprawdzić co słychać w Overwatchu, bo ostatnimi czasy chyba trochę się odbił od dna i muszę powiedzieć, że grało mi się naprawdę fajnie. Aż faktycznie przypomniały mi się czasy w których ogrywałem Paladins z taką dziecięcą radością i tu można było ponownie zasmakować takiego uczucia, spoko sprawa. Wydaje mi się też, że postacie są lepiej zbalansowane niż w Marvel Rivals i mecze sprawiają większą frajdę, ale obie gry są git.",True,0,1778501533
2357570,225202712,76561199544807284,13025,"
One of the most jewish games there is",False,0,1778424041
2357570,225199235,76561199119496225,13,"zajebista gra nawet nie da sie zalogowac bo trzena nr telefonu cieciom podac a jak podajesz do wyskakuje ""Wprowadź numer telefonu korzystającego z usługi abonamentowej"" i c1ul nic nie możesz zrobic jeszcze k0rwa niech pesel trzeba bedzie podac i grupę  krwi",False,0,1778421197
2357570,225186514,76561198370343200,1671,tak,False,0,1778408689
2357570,225149767,76561198053118024,16,"Blizzard w momencie odpalenia gry prosi Cie o numer telefonu ktory potem sprzeda chętnie sprzedawcą garnków i fotowoltaiki, więc jak jesteście samotni i nie macie do kogo sie odezwać to zapewniają wam wsparcie i przyjaciela",False,1,1778364725
2357570,225141435,76561199232487990,13210,"ta gra jest dla osób masochistycznych, twórcy tej gry nie potrafią zbalansować postaci albo to robią po upływie dłuższego czasu po za tym jestem zwyczajnie w tą grę chujowy aczkolwiek twórcy gry mogli by sie zainteresować zbalansowaniem a nie dawaniem do gry flag lgbt i udawaniem że są tolerancyjni",False,3,1778357218
2357570,225138933,76561198366899334,1246,Gra fajna ale nie da się czerpać fanu jak cie losowo wywala z serwera w trakcie meczu,False,0,1778355021
2357570,225100938,76561199850373489,9955,Nie dla ludzi ze słabą odpornością na gejów grających moirą. Poza tym spoko,True,1,1778321319
2357570,225035997,76561199283187580,6568,dostałem bana za niewinność,False,0,1778249262
2357570,225016457,76561198033606657,2923,ok,True,0,1778224016
2357570,224977711,76561198145633660,9950,"Game is pretty fun to play but has terrible servers. In other online games I have 40, 50 or 60 ping depending on location of servers but here it is constant 80 - 120 ping and random packet loss!!! While I am still on discord having 40 ping and have stable connection overwatch kicks me out for no internet connection?? WTF
Also optimization sucks. I have PC build from 2025 worth 2k bucks yet  my 1 percent lows are terrible when enabling nvidia reflex. But without nvidia reflex input lag grows to more than 30 and it is unplayble. Fix these things blizzard because it looks amateur to me",False,1,1778176056
2357570,224973298,76561199213694563,2435,super gra polecam,True,0,1778172059
2357570,224973249,76561199013025388,118,JEBAĆ BLIZZARD,False,0,1778172011
2357570,224971510,76561198891955040,1755,fajne bo jest kotek meowl :),True,1,1778170311
2357570,224923741,76561198985969945,17631,Junowatch,True,1,1778105688
2357570,224912902,76561199139930792,1491,"Fajna gierka. Ciekawe, że zrobili całą gierke na podstawie filmików z D.VĄ (granie czymś innym niż tankami to skill issue)",True,0,1778093770
2357570,224909237,76561198712540043,9810,"ni ma tragedii
",True,0,1778090067
2357570,224885334,76561198838692505,978,"Honestly even tho its past its (ov1) peak, its still a very fun game",True,0,1778063523
2357570,224883699,76561198339044103,21997,I think it's decent,True,0,1778060686
2357570,224822408,76561199163292237,12400,"mój chłopak mnie w to wciągnął, teraz często mam ochotę rozwalić głowę o biurko",True,1,1777983720
2357570,224820996,76561198215648373,4701,Waste of ♥♥♥♥♥♥♥ space,False,0,1777981908
2357570,224749359,76561198047941906,14544,I have never had bigger mental problems than because of this game,True,0,1777893320
2357570,224722138,76561198283831909,69,"Overwatch 2 to po prostu żałosny cień dawnej świetności i bezczelny skok na kasę. Blizzard koncertowo zarżnął duszę tej gry, obiecując złote góry w PvE, z których ostatecznie wypluł tylko ochłapy za grubą walutę. Teraz to głównie frustrujący festiwal niezbalansowanej rozgrywki 5v5 i agresywnych mikrotransakcji, gdzie więcej czasu spędzasz na irytowaniu się durnym matchmakingiem niż na faktycznej zabawie. Z genialnej strzelanki zrobili przeładowany sklep z dodatkiem gry, w którą odechciewa się klikać po dwóch meczach. Totalna porażka i zmarnowany potencjał.",False,5,1777852644
2357570,224704014,76561199092341103,5174,glupia gra 10/10,True,0,1777834973
2357570,224615807,76561198187294753,7600,megakocik,True,0,1777747637
2357570,224604644,76561199839810165,2704,fajna gra,True,0,1777738755
2357570,224595829,76561199219896330,41,słabiutkie,False,0,1777731676
2357570,224528124,76561199120691672,4311,gówno,False,0,1777658788
2357570,224296995,76561198415939515,10229,"I wanna rip my insides out 
10/10 giving birth simulator",False,0,1777395721
2357570,224229749,76561199121500920,7135,"Devs are the softest soycucks I ever had to deal with, 
1 month ban for saying that france is riddled with welfare stealing african immigrants
its free speech until its speech they dont agree with",False,0,1777312839
2357570,224168668,76561199109731348,8641,"DO NOT PLAY THIS GAME, IT CAN DESTROY YOUR HEALTH AND GIVE YOU MENTAL ILLNESS PLEASE RUN AS FAST AS POSSIBLE BECAUSE YOU HAVE SOMETHING WORTH MORE THAN THIS GAME, YOU HAVE FREE MIND AND WILL",True,11,1777232611
2357570,224125627,76561198749693011,2454,tak,True,0,1777194422
2357570,224095461,76561199755509096,12600,Lepsze Marvel Rivals,True,0,1777156798
2357570,224091898,76561199801301965,5956,Ta jebana gra ♥♥♥♥♥ mnie oszukuje z bycia mvp,False,0,1777153226
2357570,224074237,76561199482420022,15892,najgorsza gra która tylko marnuje życie,False,1,1777138339
2357570,224064174,76561198353389661,31613,NIC DOBREGO ODINSTALUJ TERAZ,False,0,1777130280
2357570,224007199,76561198285216077,8483,"Kobita która przegrała ze mną zakład na to kto więcej zrobi heala w drużynie, nie dotrzymała słowa.. zakład był taki że bierze rozwód. DELETE",False,0,1777063734
2357570,223814027,76561198141065670,7103,Maśniuteńka giera,True,1,1776819165
2357570,223807211,76561198960365813,941,gra nie jest okropna ale z cenami no ♥♥♥♥♥ pojebało,False,0,1776810133
2357570,223796550,76561198447629217,43015,meow meow,True,0,1776799068
2357570,223794187,76561199121984880,7992,fix ur ass servers,False,0,1776797005
2357570,223764751,76561199101126999,2194,jebać tą grę :),False,0,1776767916
2357570,223702838,76561199502473343,946,"nice but bether o battle net
",True,0,1776692500
2357570,223646935,76561198159113812,833,klasa,True,0,1776622368
2357570,223611942,76561199887926003,16194,KURWWA KURWY,False,0,1776595239
2357570,223609571,76561198188378918,5741,dobrze się gra,True,0,1776592895
2357570,223561152,76561198200979426,2678,"Gra niegrywalna, szkoda czasu. Powinni zamknąć serwery, bo to całkowita porażka.",False,0,1776540087
2357570,223470350,76561199227589872,440,ok,True,0,1776452144
